,corp_name
618,두산퓨얼셀1우
619,두산퓨얼셀2우B
620,두올
621,듀오백
622,듀켐바이오
623,드래곤플라이
624,드림시큐리티
625,드림씨아이에스
626,드림어스컴퍼니
627,드림텍
628,디딤
629,디바이스이엔지
630,디스플레이텍
631,디씨엠
632,디아이
633,디아이씨
634,디아이티
635,디알젬
636,디알텍
637,디앤씨미디어
638,디에스케이
639,디에스티
640,디에이치피코리아
641,디에이테크놀로지
642,디에이피
643,디엔에이링크
644,디엔에프
645,디엠티
646,디오
647,디와이
648,디와이파워
649,디와이피엔에프
650,디이엔티
651,디자인
652,디젠스
653,디지아이
654,디지캡
655,디지탈옵틱
656,디지털대성
657,디지틀조선
658,디케이락
659,디케이앤디
660,디케이티
661,디티알오토모티브
662,디티앤씨
663,디피씨
664,디피코
665,딜리
666,라닉스
667,라온시큐어
668,라온테크
669,라온피플
670,라이온켐텍
671,라이트론
672,라이프사이언스테크놀로지
673,라이프시맨틱스
674,라파스
675,락앤락
676,래몽래인
677,램테크놀러지
678,랩지노믹스
679,러셀
680,럭스피아
681,럭슬
682,레고켐바이오
683,레드로버
684,레드캡투어
685,레몬
686,레이
687,레이언스
688,레이크머티리얼즈
689,레인보우로보틱스
690,렌딩머신
691,로보로보
692,로보스타
693,로보쓰리
694,로보티즈
695,로스웰
696,로지시스
697,로체시스템즈
698,롯데관광개발
699,롯데리츠
700,롯데손해보험
701,롯데쇼핑
702,롯데정밀화학
703,롯데정보통신
704,롯데제과
705,롯데지주
706,롯데지주우
707,롯데칠성
708,롯데칠성우
709,롯데케미칼
710,롯데푸드
711,롯데하이마트
712,루멘스
713,루켄테크놀러지스
714,루트락
715,루트로닉
716,루트로닉3우C
717,룽투코리아
718,리노공업
719,리노스
720,리더스 기술투자
721,리더스코스메틱
722,리드코프
723,리메드
724,릭스솔루션
725,린드먼아시아
726,링네트
727,링크제니시스
728,마니커
729,마니커에프앤지
730,마이더스AI
731,마이크로디지탈
732,마이크로컨텍솔
733,마이크로프랜드
734,마크로젠
735,만도
736,만호제강
737,맘스터치
738,매일유업
739,매일홀딩스
740,매직마이크로
741,매커스
742,맥스로텍
743,맥쿼리인프라
744,맵스리얼티1
745,머큐리
746,멀티캠퍼스
747,메가스터디
748,메가스터디교육
749,메가엠디
750,메드팩토
751,메디쎄이
752,메디아나
753,메디안디노스틱
754,메디앙스
755,메디젠휴먼케어
756,메디콕스
757,메디톡스
758,메디포스트
759,메디프론
760,메리츠금융지주
761,메리츠증권
762,메리츠화재
763,메이슨캐피탈
764,메지온
765,메카로
766,메타랩스
767,메타바이오메드
768,멕아이씨에스
769,멜파스
770,명문제약
771,명성티엔에스
772,명신산업
773,명진홀딩스
774,모나리자
775,모나미
776,모다이노칩
777,모두투어
778,모두투어리츠
779,모바일리더
780,모바일어플라이언스
781,모베이스
782,모베이스전자
783,모비릭스
784,모비스
785,모아텍
786,모토닉
787,모트렉스
788,모헨즈
789,무림P&P
790,무림SP
791,무림페이퍼
792,무진메디
793,무학
794,문배철강
795,미디어젠
796,미래나노텍
797,미래산업
798,미래생명자원
799,미래아이앤지
800,미래에셋대우스팩 5호
801,미래에셋대우스팩3호
802,미래에셋대우스팩4호
803,미래에셋맵스리츠
804,미래에셋벤처투자
805,미래에셋생명
806,미래에셋증권
807,미래에셋증권2우B
808,미래에셋증권우
809,미래엔에듀파트너
810,미래컴퍼니
811,미래테크놀로지
812,미스터블루
813,미애부
814,미원상사
815,미원에스씨
816,미원홀딩스
817,미원화학
818,미창석유
819,미코
820,미코바이오메드
821,미투온
822,미투젠
823,민앤지
824,바다로19호
825,바디텍메드
826,바른손
827,바른손이앤에이
828,바른전자
829,바이넥스
830,바이브컴퍼니
831,바이오니아
832,바이오다인
833,바이오로그디바이스
834,바이오리더스
835,바이오솔루션
836,바이오스마트
837,바이오시네틱스
838,바이오인프라생명과학
839,바이오톡스텍
840,바이오프로테크
841,바이온
842,바이옵트로
843,바텍
844,박셀바이오
845,방림
846,배럴
847,백광산업
848,백금T&A
849,백산
850,버킷스튜디오
851,범양건영
852,베노홀딩스
853,베뉴지
854,베셀
855,베스파
856,베트남개발1
857,벽산
858,보광산업
859,보라티알
860,보락
861,보령제약
862,보성파워텍
863,보해양조
864,본느
865,볼빅
866,부광약품
867,부국증권
868,부국증권우
869,부국철강
870,부방
871,부산가스
872,부산산업
873,부산주공
874,부스타
875,뷰노
876,뷰웍스
877,브랜드엑스코퍼레이션
878,브리지텍
879,브릿지바이오테라퓨틱스
880,브이원텍
881,브이티지엠피
882,블러썸엠앤씨
883,블루베리 NFT
884,블루콤
885,블루탑
886,비나텍
887,비덴트
888,비디아이
889,비보존 헬스케어
890,비비씨
891,비비안
892,비상교육
893,비씨월드제약
894,비아트론
895,비에이치
896,비에이치아이
897,비엔디생활건강
898,비엠티
899,비올
900,비즈니스온
901,비츠로셀
902,비츠로시스
903,비츠로테크
904,비케이탑스
905,비트컴퓨터
906,비플라이소프트
907,비피도
908,빅솔론
909,빅텍
910,빅텐츠
911,빙그레
912,빛샘전자
913,뿌리깊은나무들
914,사람인에이치알
915,사조대림
916,사조동아원
917,사조산업
918,사조씨푸드
919,사조오양
920,삼강엠앤티
921,삼기
922,삼륭물산
923,삼목에스폼
924,삼보모터스
925,삼보산업
926,삼보판지
927,삼부토건
928,삼성SDI
929,삼성SDI우
930,삼성공조
931,삼성물산
932,삼성물산우B
933,삼성바이오로직스
934,삼성생명
935,삼성스팩2호
936,삼성에스디에스
937,삼성엔지니어링
938,삼성전기
939,삼성전기우
940,삼성전자
941,삼성전자우
942,삼성제약
943,삼성중공업
944,삼성중공우
945,삼성증권
946,삼성출판사
947,삼성카드
948,삼성화재
949,삼성화재우
950,삼아알미늄
951,삼아제약
952,삼양사
953,삼양사우
954,삼양식품
955,삼양옵틱스
956,삼양통상
957,삼양패키징
958,삼양홀딩스
959,삼양홀딩스우
960,삼영무역
961,삼영엠텍
962,삼영이엔씨
963,삼영전자
964,삼영화학
965,삼원강재
966,삼익THK
967,삼익악기
968,삼일
969,삼일기업공사
970,삼일씨엔에스
971,삼일제약
972,삼정펄프
973,삼지전자
974,삼진
975,삼진엘앤디
976,삼진제약
977,삼천당제약
978,삼천리
979,삼천리자전거
980,삼표시멘트
981,삼현철강
982,삼호개발
983,삼화네트웍스
984,삼화왕관
985,삼화전기
986,삼화전자
987,삼화콘덴서
988,삼화페인트
989,상보
990,상상인
991,상상인이안1호스팩
992,상상인이안제2호스팩
993,상상인인더스트리
994,상상인증권
995,상신브레이크
996,상신이디피
997,상신전자
998,상아프론테크
999,상지카일룸
1000,새로닉스
1001,새론오토모티브
1002,샘코
1003,샘표
1004,샘표식품
1005,서남
1006,서린바이오
1007,서부T&D
1008,서산
1009,서암기계공업
1010,서연
1011,서연이화
1012,서연탑메탈
